1. Superficie de las zonas verdes urbanas en la ciudad según tipo. 2023;
;
;Superficie
València;5397535.9399999995
Parques urbanos;586092
Jardines de especial protección;515819.94
Jardines del Turia;1234832
Jardines de barrio y plazas;1566810
Acompañamiento viario y residencial;843882
Bulevares;413799
Universidades Públicas;188879
Cementerios;47422
Nota: Datos de superficie expresados en m2.;
